TimeObj;Hour;Minute;TimeKey;TimeStr
7:15:00 SA;7;15;715;7:15:00 SA
7:20:00 SA;7;20;720;7:20:00 SA
7:25:00 SA;7;25;725;7:25:00 SA
7:30:00 SA;7;30;730;7:30:00 SA
7:35:00 SA;7;35;735;7:35:00 SA
7:40:00 SA;7;40;740;7:40:00 SA
7:45:00 SA;7;45;745;7:45:00 SA
8:00:00 SA;8;0;800;8:00:00 SA
8:05:00 SA;8;5;805;8:05:00 SA
8:10:00 SA;8;10;810;8:10:00 SA
8:15:00 SA;8;15;815;8:15:00 SA
8:20:00 SA;8;20;820;8:20:00 SA
8:35:00 SA;8;35;835;8:35:00 SA
8:45:00 SA;8;45;845;8:45:00 SA
8:50:00 SA;8;50;850;8:50:00 SA
9:00:00 SA;9;0;900;9:00:00 SA
9:05:00 SA;9;5;905;9:05:00 SA
9:10:00 SA;9;10;910;9:10:00 SA
9:20:00 SA;9;20;920;9:20:00 SA
9:25:00 SA;9;25;925;9:25:00 SA
9:30:00 SA;9;30;930;9:30:00 SA
9:35:00 SA;9;35;935;9:35:00 SA
9:45:00 SA;9;45;945;9:45:00 SA
9:50:00 SA;9;50;950;9:50:00 SA
9:55:00 SA;9;55;955;9:55:00 SA
10:00:00 SA;10;0;1000;10:00:00 SA
10:10:00 SA;10;10;1010;10:10:00 SA
10:15:00 SA;10;15;1015;10:15:00 SA
10:25:00 SA;10;25;1025;10:25:00 SA
10:30:00 SA;10;30;1030;10:30:00 SA
10:40:00 SA;10;40;1040;10:40:00 SA
10:50:00 SA;10;50;1050;10:50:00 SA
10:55:00 SA;10;55;1055;10:55:00 SA
11:00:00 SA;11;0;1100;11:00:00 SA
11:05:00 SA;11;5;1105;11:05:00 SA
11:15:00 SA;11;15;1115;11:15:00 SA
11:20:00 SA;11;20;1120;11:20:00 SA
11:25:00 SA;11;25;1125;11:25:00 SA
11:30:00 SA;11;30;1130;11:30:00 SA
11:40:00 SA;11;40;1140;11:40:00 SA
11:50:00 SA;11;50;1150;11:50:00 SA
11:55:00 SA;11;55;1155;11:55:00 SA
12:05:00 CH;12;5;1205;12:05:00 CH
12:10:00 CH;12;10;1210;12:10:00 CH
12:15:00 CH;12;15;1215;12:15:00 CH
12:20:00 CH;12;20;1220;12:20:00 CH
12:30:00 CH;12;30;1230;12:30:00 CH
12:35:00 CH;12;35;1235;12:35:00 CH
12:45:00 CH;12;45;1245;12:45:00 CH
12:55:00 CH;12;55;1255;12:55:00 CH
1:00:00 CH;13;0;1300;1:00:00 CH
1:10:00 CH;13;10;1310;1:10:00 CH
1:20:00 CH;13;20;1320;1:20:00 CH
1:25:00 CH;13;25;1325;1:25:00 CH
1:30:00 CH;13;30;1330;1:30:00 CH
1:35:00 CH;13;35;1335;1:35:00 CH
1:40:00 CH;13;40;1340;1:40:00 CH
1:45:00 CH;13;45;1345;1:45:00 CH
1:50:00 CH;13;50;1350;1:50:00 CH
2:00:00 CH;14;0;1400;2:00:00 CH
2:05:00 CH;14;5;1405;2:05:00 CH
2:25:00 CH;14;25;1425;2:25:00 CH
